version,comment,id,en,km,zh,vi,th,lo,hi
1.0.0,描述,key,英文,柬埔寨,中文,越南语,泰语,老挝语,印度语
,kyc,kyc_title,Real-name authentication,ការផ្ទៀងផ្ទាត់ឈ្មោះពិត,实名认证,Xác thực danh tính,การรับรองด้วยชื่อจริง,ການຢືນຢັນຊື່ແທ້,वास्तविक नाम प्रमाणीकरण
,,submit,Submit,ដាក់ស្នើ,提交,Gửi,ส่ง,ການສົ່ງ,पेश करना
,,tip_title,Please complete the real-name authentication as soon as possible,សូមបំពេញការផ្ទៀងផ្ទាត់ឈ្មោះពិតឱ្យបានឆាប់តាមដែលអាចធ្វើទៅបាន។,请尽快完成实名认证,Vui lòng hoàn thành xác thực danh tính càng sớm càng tốt,โปรดรีบดำเนินการรับรองด้วยชื่อจริงให้เสร็จสิ้น,ກະລຸນາເຮັດການຢືນຢັນຊື່ແທ້ໃຫ້ສຳເລັດໄວເທົ່າທີ່ຈະໄວໄດ້,कृपया यथाशीघ्र वास्तविक नाम प्रमाणीकरण पूरा करें
,,tip_modal_title,The need for real-name authentication,តម្រូវការសម្រាប់ការផ្ទៀងផ្ទាត់ឈ្មោះពិត,实名认证的必要性,Tính cần thiết của việc xác thực danh tính,ความจำเป็นของการรับรองด้วยชื่อจริง,ຄວາມຈໍາເປັນຂອງການຢືນຢັນຊື່ແທ້,वास्तविक नाम प्रमाणीकरण की आवश्यकता
,,button_know,Got it,យល់ហើយ។,知道了,Đã biết,ทราบแล้ว,ຮູ້ແລ້ວ,समझ लिया
,,list_china,China,ចិន,中国,Trung Quốc,จีน,ຈີນ ,चीन
,,list_thai,Thailand,ប្រទេសថៃ,泰国,Thái Lan,ไทย,ໄທ,थाईलैंड
,,list_passport,Passport,លិខិតឆ្លងដែន,护照,Hộ chiếu,หนังสือเดินทาง,ປັດສະໂປດ,पासपोर्ट
,,list_ID,ID card,អត្តសញ្ញាណប័ណ្ណ,身份证,Chứng minh nhân dân,บัตรประจำตัวประชาชน,ບັດປະຈຳຕົວ,आईडी कार्ड
,,list_drive,Driving license,ប័ណ្ណបើកបរ,驾驶证,Bằng lái xe,ใบขับขี่,ໃບຂັບຂີ່,चालक लाइसेंस
,,list_photo,Take a photo,ថតរូប,拍照,Chụp ảnh,ถ่ายรูป,ຖ່າຍຮູບ,फोटो
,,list_gallery,Upload from gallery,បង្ហោះពីវិចិត្រសាល,从图库上传,Tải lên từ thư viện,อัปโหลดจากอัลบั้ม,ການສົ່ງຈາກຄັງຮູບ,गैलरी से अपलोड करें
,,photo_title,Upload ID photo,បង្ហោះរូបថតលេខសម្គាល់,上传证件照片,Tải ảnh giấy tờ tuỳ thân lên,อัปโหลดภาพเอกสารยืนยันฐานะ,ການສົ່ງຮູບຖ່າຍໃບຢັ້ງຢືນ,आईडी फोटो अपलोड करें
,,button_soure,Confirm and upload,បញ្ជាក់ និងបង្ហោះ,确定并上传,Xác nhận và tải lên,ยืนยันและอัปโหลด,ຕົກລົງ ແລະ ສົ່ງເຖິງ,पुष्टि करें अपलोड करें
,,button_replay,Retake,យកឡើងវិញ,重新拍照,Chụp lại,ถ่ายรูปใหม่,ຖ່າຍຮູບຄືນໃໝ່,दोबारा फोटो खींचें
,,button_photo,Reselect,ជ្រើសរើសឡើងវិញ,重新选择,Chọn lại,เลือกใหม่,ເລືອກໃໝ່,फिर से चुनें
,,modal_title_success,Submitted successfully,បានដាក់ស្នើដោយជោគជ័យ,提交成功,Gửi thành công,ส่งสำเร็จ,ການສົ່ງເປັນສຳເລັດ,सफलतापूर्वक पेश किया
,,modal_title_failed,Failed to submit,បរាជ័យក្នុងការដាក់ស្នើ,提交失败,Gửi không thành công,ส่งล้มเหลว,ການສົ່ງບໍ່ສຳເລັດ,पेश करना विपल रहा
,,modal_content,"Your real-name authentication information has been submitted please wait patiently, the results will be notified by SMS!",ព័ត៌មានផ្ទៀងផ្ទាត់ឈ្មោះពិតរបស់អ្នកត្រូវបានដាក់ជូន សូមរង់ចាំដោយអត់ធ្មត់ លទ្ធផលនឹងត្រូវបានជូនដំណឹងតាម SMS!,您的实名认证信息已提交请耐心等待，结果将以短信方式通知您,"Thông tin xác thực danh tính của bạn đã được gửi đi, vui lòng kiên nhẫn chờ đợi, kết quả sẽ được thông báo cho bạn qua SMS",ได้ส่งข้อมูลรับรองด้วยชื่อจริงของคุณแล้ว โปรดอดทนรอ จะส่งผลแจ้งเตือนให้คุณผ่านทางSMS,"ຂໍ້ມູນການຢືນຢັນຊື່ແທ້ຂອງທ່ານໄດ້ຖືກສົ່ງ,ກະລຸນາລໍຖ້າດ້ວຍຄວາມອົດທົນ,ຜົນຈະໄດ້ຮັບການແຈ້ງໃຫ້ຊາບໂດຍຂໍ້ຄວາມສັນ","आपकी वास्तविक नाम प्रमाणीकरण जानकारी पेश कर दी गई है, कृपया धैर्यपूर्वक प्रतीक्षा करें, परिणाम संदेश द्वारा सूचित किया जाएगा"
,,button_rewrite,Refill,បំពេញ,重新填写,Điền lại,กรอกใหม่,ຕື່ມໃສ່ຄືນໃໝ່,पुनः भरें
,,photo_content1,"Choose Cambodia as the country or region. Only ID card can be used for authentication; if other countries or regions are selected, only passport can be used for authentication.",ជ្រើសរើសប្រទេសកម្ពុជាជាប្រទេស ឬតំបន់។ មានតែអត្តសញ្ញាណប័ណ្ណទេដែលអាចប្រើបានសម្រាប់ការផ្ទៀងផ្ទាត់។ ប្រសិនបើប្រទេស ឬតំបន់ផ្សេងទៀតត្រូវបានជ្រើសរើស មានតែលិខិតឆ្លងដែនប៉ុណ្ណោះដែលអាចប្រើបានសម្រាប់ការផ្ទៀងផ្ទាត់។,国家或地区选择柬埔寨。只能使用身份证认证；若选择其他国家或地区，则只能使用护照认证。,"Nếu chọn quốc gia hoặc khu vực là Campuchia, chỉ có thể sử dụng chứng minh nhân dân xác thực; nếu chọn quốc gia hoặc khu vực khác, chỉ có thể sử dụng hộ chiếu xác thực. ",ประเทศหรือภูมิภาคเลือกกัมพูชา มีเพียงใช้บัตรประจำตัวประชาชนเท่านั้นถึงจะรับรองได้ หากเลือกประเทศหรือภูมิภาคอื่น เพียงสามารถใช้หนังสือเดินทางรับรองได้เท่านั้น,"ປະເທດຫຼືພາກພື້ນເລືອກກຳປູເຈຍ.ພຽງສາມາດນຳໃຊ້ບັດປະຈຳຕົວເພື່ອຢັ້ງຢືນໄດ້ເທົ່ານັ້ນ;ຖ້າເລືອກປະເທດຫຼືພາກພື້ນອື່ນ,ມີພຽງແຕ່ໃຊ້ປັດສະໂປດເທົ່ານັ້ນເພື່ອຢັ້ງຢືນໄດ້.","ປະເທດຫຼືພາກພື້ນເລືອກກຳປູເຈຍ.ພຽງສາມາດນຳໃຊ້ບັດປະຈຳຕົວເພື່ອຢັ້ງຢືນໄດ້ເທົ່ານັ້ນ;ຖ້າເລືອກປະເທດຫຼືພາກພື້ນອື່ນ,ມີພຽງແຕ່ໃຊ້ປັດສະໂປດເທົ່ານັ້ນເພື່ອຢັ້ງຢືນໄດ້."
,,photo_content2,"Authentication information can not be modified once verified, please be sure to fill out the truth!",ពត៌មានផ្ទៀងផ្ទាត់មិនអាចកែប្រែបានទេ ពេលផ្ទៀងផ្ទាត់ សូមប្រាកដថាត្រូវបំពេញការពិត!,认证信息一经验证就不可修改，请务必如实填写,"Thông tin xác thực sau khi đã xác minh thì không thể sửa đổi, vui lòng điền đúng sự thật",หากข้อมูลรับรองได้ผ่านการยอมรับแล้วจะไม่สามารถแก้ไขได้ ,"ເມື່ອຂໍ້ມູນຖືກຢັ້ງຢືນແລ້ວ,ມັນບໍ່ສາມາດແກ້ໄຂໄດ້,ກະລຸນາຕື່ມຂໍ້ມູນແທ້ຈິງ","ເມື່ອຂໍ້ມູນຖືກຢັ້ງຢືນແລ້ວ,ມັນບໍ່ສາມາດແກ້ໄຂໄດ້,ກະລຸນາຕື່ມຂໍ້ມູນແທ້ຈິງ"
,,photo_content3,Authenticated real name information cannot be authenticated repeatedly,ព័ត៌មាន​ឈ្មោះ​ពិត​ដែល​ត្រូវ​បាន​ផ្ទៀងផ្ទាត់​មិន​អាច​ត្រូវ​បាន​ផ្ទៀងផ្ទាត់​ម្តង​ហើយ​ម្តង​ទៀត​បាន​ទេ។,被认证的实名信息不能重复认证,Không thể xác thực lại thông tin tên thật đã xác minh,โปรดกรอกตามความเป็นจริง,ຂໍ້ມູນຊື່ຈິງທີ່ໄດ້ຮັບການຢັ້ງຢືນບໍ່ສາມາດເຮັດການຢັ້ງຢືນຄືນໄດ້.,ຂໍ້ມູນຊື່ຈິງທີ່ໄດ້ຮັບການຢັ້ງຢືນບໍ່ສາມາດເຮັດການຢັ້ງຢືນຄືນໄດ້.
,,tip_modal_content1,"·Only after completing real-name authentication can transfers, transactions, and other operations be carried out. HuionePAY fully guarantees the security of your account and funds.",· លុះត្រាតែបញ្ចប់ការផ្ទៀងផ្ទាត់ឈ្មោះពិត ទើបអាចផ្ទេរ ប្រតិបត្តិការ និងប្រតិបត្តិការផ្សេងទៀតត្រូវបានអនុវត្ត។ HuionePAY ធានាយ៉ាងពេញលេញនូវសុវត្ថិភាពនៃគណនី និងមូលនិធិរបស់អ្នក។,· 只有完成实名认证才可以进行转账、交易等操作。HuionePAY充分保障您的账户和资金安全。,"· Chỉ khi hoàn thành xác thực danh tính mới có thể tiến hành các thao tác như chuyển khoản, giao dịch. {app}PAY hoàn toàn đảm bảo sự an toàn cho tài khoản và tiền của bạn.",· เพียงดำเนินการรับรองด้วยชื่อจริงให้เสร็จสิ้นเท่านั้น ถึงจะโอนเงิน ทำการซื้อขายและดำเนินการอย่างอื่นได้{app}PAYรับประกันความปลอดภัยบัญชีและเงินทุนของคุณอย่างเต็มที่,·ພຽງສໍາເລັດການຢືນຢັນຊື່ແທ້ແລ້ວຈຶ່ງສາມາດດໍາເນີນງານເຊັ່ນ: ການໂອນແລະການຄ້າ.{app}PAY ຮັບປະກັນຄວາມປອດໄພຂອງບັນຊີ ແລະເງິນຂອງທ່ານຢ່າງເຕັມສ່ວນ.,"· केवल वास्तविक नाम प्रमाणित करने के बाद ही आप स्थानांतरण, व्यापार आदि क्रियाएँ कर सकते हैं। {app}PAY आपके खाते और धन सुरक्षा की पूरी तरह से देखभाल करता है।"
,,tip_modal_content2,·Real-name authentication requires you to fill in real information.,· ការផ្ទៀងផ្ទាត់ឈ្មោះពិតតម្រូវឱ្យអ្នកបំពេញព័ត៌មានពិត។,· 实名认证需要您填写真实的信息。,. Xác thực danh tính yêu cầu bạn điền thông tin thật.,· การรับรองด้วยชื่อจริงต้องการคุณกรอกข้อมูลจริง,·ການຢືນຢັນຊື່ຈິງຕ້ອງການໃຫ້ທ່ານຕື່ມຂໍ້ມູນຕົວຈິງ.,· वास्तविक नाम प्रमाणित करने में आपको वास्तविक जानकारी भरनी होगी।
,,tip_modal_content3,·HuionePAY protects your privacy from disclosure.,· HuionePAY ការពារភាពឯកជនរបស់អ្នកពីការលាតត្រដាង។,· HuionePAY保护您的隐私不会泄露。,· {app}PAY bảo vệ quyền riêng tư của bạn khỏi bị tiết lộ.,· {app}PAYรับประกันความเป็นส่วนตัวของคุณไม่ให้เปิดเผยออกไป,·{app}PAY ປົກປ້ອງຄວາມລັບຂອງທ່ານແລະບໍ່ໃຫ້ເປີດເຜີຍ.,· {app}PAY आपकी गोपनीयता की रक्षा करता है और कभी भी जानकारी नहीं उजागर होने देता।
