version,comment,id,zh,hk,jp,th,spa,kor,fra
1.0.0,描述,key,中文,繁体中文,日文,泰语,意大利,韩国,法国
,首页,home1,我的账号,我的账号,我的账号,我的账号,我的账号,我的账号,我的账号
,首页,home2,交易,交易,交易,交易,交易,交易,交易
,首页,home3,AI量化,AI量化,AI量化,AI量化,AI量化,AI量化,AI量化
,首页,home4,模拟交易,模拟交易,模拟交易,模拟交易,模拟交易,模拟交易,模拟交易
,首页,home5,分享,分享,分享,分享,分享,分享,分享
,首页,home6,市场,市场,市场,市场,市场,市场,市场
,首页,home7,推荐,推荐,推荐,推荐,推荐,推荐,推荐
,首页,home8,收藏,收藏,收藏,收藏,收藏,收藏,收藏
,首页,home9,加密货币,加密货币,加密货币,加密货币,加密货币,加密货币,加密货币
,首页,home10,外汇,外汇,外汇,外汇,外汇,外汇,外汇
,首页,home11,期货,期货,期货,期货,期货,期货,期货
,首页,home12,为什么选择我们,为什么选择我们,为什么选择我们,为什么选择我们,为什么选择我们,为什么选择我们,为什么选择我们
,首页,home13,每秒30万笔交易 订单回应时间小于1毫秒,每秒30萬筆交易 訂單回應時間小於1毫秒,每秒30萬筆交易 訂單回應時間小於1毫秒,每秒30萬筆交易 訂單回應時間小於1毫秒,每秒30萬筆交易 訂單回應時間小於1毫秒,每秒30萬筆交易 訂單回應時間小於1毫秒,每秒30萬筆交易 訂單回應時間小於1毫秒
,首页,home14,进阶功能,進階功能,進階功能,進階功能,進階功能,進階功能,進階功能
,首页,home15,适用于机构交易者的 FIX API和适用于量化交易者的子账户,適用於機構交易者的 FIX API和適用於量化交易者的子賬戶,適用於機構交易者的 FIX API和適用於量化交易者的子賬戶,適用於機構交易者的 FIX API和適用於量化交易者的子賬戶,適用於機構交易者的 FIX API和適用於量化交易者的子賬戶,適用於機構交易者的 FIX API和適用於量化交易者的子賬戶,適用於機構交易者的 FIX API和適用於量化交易者的子賬戶
,首页,home16,最強錢包安全,最強錢包安全,最強錢包安全,最強錢包安全,最強錢包安全,最強錢包安全,最強錢包安全
,首页,home17,冷钱包储存。转账需要2级人类安全离线签名。,冷錢包儲存。轉賬需要2級人類安全離線簽名。,冷錢包儲存。轉賬需要2級人類安全離線簽名。,冷錢包儲存。轉賬需要2級人類安全離線簽名。,冷錢包儲存。轉賬需要2級人類安全離線簽名。,冷錢包儲存。轉賬需要2級人類安全離線簽名。,冷錢包儲存。轉賬需要2級人類安全離線簽名。
,首页,home18,访问和支持,訪問和支持,訪問和支持,訪問和支持,訪問和支持,訪問和支持,訪問和支持
,首页,home19,7天24小时及时多语言支援,7天24小時及時多語言支援,7天24小時及時多語言支援,7天24小時及時多語言支援,7天24小時及時多語言支援,7天24小時及時多語言支援,7天24小時及時多語言支援
,钱包,assets1,钱包,钱包,钱包,钱包,钱包,钱包,钱包
,钱包,assets2,账户总资金,賬戶總資金,賬戶總資金,賬戶總資金,賬戶總資金,賬戶總資金,賬戶總資金
,钱包,assets3,交易账户,交易账户,交易账户,交易账户,交易账户,交易账户,交易账户
,钱包,assets4,资金账户,资金账户,资金账户,资金账户,资金账户,资金账户,资金账户
,钱包,assets5,今日收益,今日收益,今日收益,今日收益,今日收益,今日收益,今日收益
,钱包,assets6,我的地址,我的地址,我的地址,我的地址,我的地址,我的地址,我的地址
,钱包,assets7,资金划转,资金划转,资金划转,资金划转,资金划转,资金划转,资金划转
,钱包,assets8,电汇,电汇,电汇,电汇,电汇,电汇,电汇
,资产割转,move1,资产割转,资产割转,资产割转,资产割转,资产割转,资产割转,资产割转
,资产割转,move2,币种,币种,币种,币种,币种,币种,币种
,资产割转,move3,从,从,从,从,从,从,从
,资产割转,move4,可用金额,可用金额,可用金额,可用金额,可用金额,可用金额,可用金额
,资产割转,move5,至,至,至,至,至,至,至
,资产割转,move6,地址,地址,地址,地址,地址,地址,地址
,资产割转,move7,割转数量,割转数量,割转数量,割转数量,割转数量,割转数量,割转数量
,资产割转,move8,割转,割转,割转,割转,割转,割转,割转
,资产割转,move9,全部,全部,全部,全部,全部,全部,全部
,资产割转,move10,为了资金安全，请不要向陌生地址发送加密资产,为了资金安全，请不要向陌生地址发送加密资产,为了资金安全，请不要向陌生地址发送加密资产,为了资金安全，请不要向陌生地址发送加密资产,为了资金安全，请不要向陌生地址发送加密资产,为了资金安全，请不要向陌生地址发送加密资产,为了资金安全，请不要向陌生地址发送加密资产
,交易,move11,交易,交易,交易,交易,交易,交易,交易
,交易,move12,买涨,买涨,买涨,买涨,买涨,买涨,买涨
,交易,move13,买跌,买跌,买跌,买跌,买跌,买跌,买跌
,AI量化,AI1,AI量化,AI量化,AI量化,AI量化,AI量化,AI量化,AI量化
,AI量化,AI2,总共套利,总共套利,总共套利,总共套利,总共套利,总共套利,总共套利
,AI量化,AI3,今日挖矿,今日挖矿,今日挖矿,今日挖矿,今日挖矿,今日挖矿,今日挖矿
,AI量化,AI4,AI量化介紹,AI量化介紹,AI量化介紹,AI量化介紹,AI量化介紹,AI量化介紹,AI量化介紹
,AI量化,AI5,机器人是如何工作的,机器人是如何工作的,机器人是如何工作的,机器人是如何工作的,机器人是如何工作的,机器人是如何工作的,机器人是如何工作的
,AI量化,AI6,查询订单,查询订单,查询订单,查询订单,查询订单,查询订单,查询订单
,AI量化,AI7,托管,托管,托管,托管,托管,托管,托管
,AI量化,AI8,限额,限额,限额,限额,限额,限额,限额
,AI量化,AI9,周期,周期,周期,周期,周期,周期,周期
,AI量化,AI10,托管金额,托管金额,托管金额,托管金额,托管金额,托管金额,托管金额
,AI量化,AI11,金额,金额,金额,金额,金额,金额,金额
,AI量化,AI12,立刻托管,立刻托管,立刻托管,立刻托管,立刻托管,立刻托管,立刻托管
,AI量化,AI13,每日收益将发送到您的USDT钱包账户,每日收益将发送到您的USDT钱包账户,每日收益将发送到您的USDT钱包账户,每日收益将发送到您的USDT钱包账户,每日收益将发送到您的USDT钱包账户,每日收益将发送到您的USDT钱包账户,每日收益将发送到您的USDT钱包账户
