version,comment,id,zh,hk,en,jp,th,spa,kor,fra
1.0.0,描述,key,中文,繁体中文,英文,日文,泰语,西班牙,韩国,法国
,首页,home1,我的账号,我的帳號,My Account,私のアカウント,บัญชีของฉัน,Mi cuenta,내 계정,Mon compte
,首页,home2,交易,交易,Trade,貿易,ซื้อขาย,Comercio,거래,Commerce
,首页,home3,AI量化,AI量化,AI Quantification,AI による定量化,การหาปริมาณ AI,Cuantificación de IA,AI 정량화,Quantification de l'IA
,首页,home4,模拟交易,模擬交易,Simulated Trading,模擬取引,การซื้อขายจำลอง,Comercio simulado,모의거래,Trading simulé
,首页,home5,分享,分享,Share,共有,แบ่งปัน,Compartir,공유하다,Partager
,首页,home6,市场,市場,Market,市場,ตลาด,Mercado,시장,Marché
,首页,home7,推荐,推薦,Recommend,推薦する,แนะนำ,Recomendar,추천하다,Recommander
,首页,home8,收藏,收藏,Collect,集める,เก็บรวบรวม,Recolectar,모으다,Collecter
,首页,home9,加密货币,加密貨幣,Cryptocurrency,暗号通貨,สกุลเงินดิจิทัล,Criptomoneda,암호화폐,Crypto-monnaie
,首页,home10,外汇,外匯,Forex,外国為替,ฟอเร็กซ์,Forex,외환,Forex
,首页,home11,期货,期貨,Futures,先物,ฟิวเจอร์ส,Futuros,선물,à terme
,首页,home12,为什么选择我们,為什麼選擇我們,Why Us,なんで私達なの,ทำไมต้องเป็นเรา,Por qué elegirnos,왜 우리를 선택 했습니까,Pourquoi nous choisir
,首页,home13,每秒30万笔交易 订单回应时间小于1毫秒,每秒30萬筆交易 訂單回應時間小於1毫秒,"300,000 transactions per second, order response time less than 1 millisecond","1 秒あたり 300,000 トランザクション、注文応答時間は 1 ミリ秒未満","ธุรกรรม 300,000 รายการต่อวินาที เวลาตอบสนองคำสั่งซื้อน้อยกว่า 1 มิลลิวินาที","300.000 transacciones por segundo, tiempo de respuesta de pedidos inferior a 1 milisegundo","초당 300,000건의 거래, 1밀리초 미만의 주문 응답 시간","300 000 transactions par seconde, temps de réponse aux commandes inférieur à 1 milliseconde"
,首页,home14,进阶功能,進階功能,Advanced Functions,高度な機能,ฟังก์ชั่นขั้นสูง,Funciones avanzadas,고급 기능,Fonctions avancées
,首页,home15,适用于机构交易者的 FIX API和适用于量化交易者的子账户,適用於機構交易者的 FIX API和適用於量化交易者的子帳戶,FIX API for institutional traders and sub-accounts for quantitative traders,機関投資家向けのFIX APIと定量的トレーダー向けのサブアカウント,FIX API สำหรับเทรดเดอร์สถาบันและบัญชีย่อยสำหรับเทรดเดอร์เชิงปริมาณ,API FIX para comerciantes institucionales y subcuentas para comerciantes cuantitativos,기관 트레이더를 위한 FIX API 및 퀀트 트레이더를 위한 하위 계정,API FIX pour les traders institutionnels et sous-comptes pour les traders quantitatifs
,首页,home16,最強錢包安全,最強錢包安全,The strongest wallet security,最強のウォレットセキュリティ,การรักษาความปลอดภัยกระเป๋าเงินที่แข็งแกร่งที่สุด,La seguridad de billetera más sólida,가장 강력한 지갑 보안,La sécurité du portefeuille la plus forte
,首页,home17,冷钱包储存。转账需要2级人类安全离线签名。,冷錢包儲存。轉帳需要2級人類安全離線簽名。,Cold wallet storage. Transfers require a Level 2 human secure offline signature.,コールドウォレットストレージ。転送には、レベル 2 の人間による安全なオフライン署名が必要です。,การจัดเก็บกระเป๋าเงินเย็น การโอนจำเป็นต้องมีลายเซ็นออฟไลน์ที่ปลอดภัยของมนุษย์ระดับ 2,Almacenamiento en billetera fría. Las transferencias requieren una firma humana segura fuera de línea de Nivel 2.,콜드 지갑 보관. 전송에는 레벨 2 인간 보안 오프라인 서명이 필요합니다.,Stockage de portefeuille froid. Les transferts nécessitent une signature hors ligne sécurisée humaine de niveau 2.
,首页,home18,访问和支持,訪問和支持,Access & Support,アクセスとサポート,การเข้าถึงและการสนับสนุน,acceso y soporte,액세스 및 지원,accès et assistance
,首页,home19,7天24小时及时多语言支援,7天24小時及時多語言支援,24/7 real-time multi-language support,24時間年中無休のリアルタイム多言語サポート,รองรับหลายภาษาแบบเรียลไทม์ตลอด 24 ชั่วโมงทุกวัน,"Soporte multilingüe en tiempo real las 24 horas, los 7 días de la semana",연중무휴 실시간 다국어 지원,Assistance multilingue en temps réel 24h/24 et 7j/7
,钱包,assets1,钱包,錢包,Wallet,財布,กระเป๋าสตางค์,Billetera,지갑,Portefeuille
,钱包,assets2,账户总资金,帳戶總資金,Total Account Funds,アカウント資金合計,เงินทุนในบัญชีทั้งหมด,Fondos totales de la cuenta,총 계좌 자금,Fonds totaux du compte
,钱包,assets3,交易账户,交易帳戶,Transaction Account,取引口座,บัญชีธุรกรรม,Cuenta de transacciones,거래 계좌,Compte de transaction
,钱包,assets4,资金账户,資金帳戶,Capital Account,資本勘定,บัญชีทุน,Cuenta capital,자본 계정,Compte de capital
,钱包,assets5,今日收益,今日收益,Day Earnings,一日の収入,รายได้รายวัน,Las ganancias de hoy,오늘의 수입,Les gains d'aujourd'hui
,钱包,assets6,我的地址,我的地址,My Address,私のアドレス,ที่อยู่ของฉัน,Mi dirección,내 주소,Mon adresse
,钱包,assets7,资金划转,資金劃轉,Fund Transfer,口座振替え,การโอนเงิน,Transferencia de fondos,자금 이체,Transfert de fonds
,钱包,assets8,电汇,電匯,Wire Transfer,電信送金,โอนเงิน,transferencia bancaria,전신환 송금,Virement bancaire
,资产割转,move1,资产割转,資產割轉,Asset Transfer,資産譲渡,การโอนสินทรัพย์,Transferencia de activos,자산 양도,Transfert d'actifs
,资产割转,move2,币种,幣種,Currency,通貨,สกุลเงิน,Divisa,통화,Devise
,资产割转,move3,从,從,From,から,จาก,de,~에서,Depuis
,资产割转,move4,可用金额,可用金額,Amount Available,使える金额,จำนวนเงินที่มีอยู่,Cantidad disponible,사용 가능한 금액,Montant disponible
,资产割转,move5,至,至,To,に,ถึง,a,에게,à
,资产割转,move6,地址,地址,Address,住所,ที่อยู่,DIRECCIÓN,주소,Adresse
,资产割转,move7,割转数量,割轉數量,Transfer quantity,転送量,ปริมาณการโอน,Número de cortes,이체 수량,Nombre de coupes
,资产割转,move8,割转,割轉,Transfer,移行,โอนย้าย,Cortar y girar,옮기다,Couper et tourner
,资产割转,move9,全部,全部,All,全て,ทั้งหมด,todo,모두,Tous
